#AA     Mass    Charge  Sigma   Lambda  
ALA     71.08   0.00    5.040   0.0031   
ARG     156.20  1.00    6.560   0.7233   
ASN     114.10  0.00    5.680   0.1596   
ASP     115.10  -1.00   5.580   0.0017   
CYS     103.10  0.00    5.480   0.3998  
GLN     128.10  0.00    6.020   0.4678   
GLU     129.10  -1.00   5.920   0.0225   
GLY     57.05   0.00    4.500   0.7841  
HIS     137.10  0.50    6.080   0.4870  
ILE     113.20  0.00    6.180   0.6867  
LEU     113.20  0.00    6.180   0.3352   
LYS     128.20  1.00    6.360   0.0948   
MET     131.20  0.00    6.180   0.9929   
PHE     147.20  0.00    6.360   0.8709   
PRO     97.12   0.00    5.560   0.4707   
SER     87.08   0.00    5.180   0.4872   
THR     101.10  0.00    5.620   0.2737  
TRP     186.20  0.00    6.780   0.7528  
TYR     163.20  0.00    6.460   0.9944  
VAL     99.07   0.00    5.860   0.4278  
